"","franchID","yearID","WARP","W"
"669","CHN",1910,0,NA
"670","CHN",1911,0,NA
"671","CHN",1912,0,NA
"672","CHN",1913,0,NA
"673","CHN",1914,0,NA
"674","CHN",1915,0,NA
"675","CHN",1916,0,NA
"676","CHN",1917,0,NA
"677","CHN",1918,0,NA
"678","CHN",1919,0,NA
"679","CHN",1920,0,NA
"680","CHN",1921,0,NA
"681","CHN",1922,0,NA
"682","CHN",1923,0,NA
"683","CHN",1924,0,NA
"684","CHN",1925,0,NA
"685","CHN",1926,0,NA
"686","CHN",1927,0,NA
"687","CHN",1928,0,NA
"688","CHN",1929,0,NA
"689","CHN",1930,0,NA
"690","CHN",1931,0,NA
"691","CHN",1932,0,NA
"692","CHN",1933,0,NA
"693","CHN",1934,0,NA
"694","CHN",1935,0,NA
"695","CHN",1936,0,NA
"696","CHN",1937,0,NA
"697","CHN",1938,0,NA
"698","CHN",1939,0,NA
"699","CHN",1940,0,NA
"700","CHN",1941,0,NA
"701","CHN",1942,0,NA
"702","CHN",1943,0,NA
"703","CHN",1944,0,NA
"704","CHN",1945,0,NA
"705","CHN",1946,0,NA
"706","CHN",1947,0,NA
"707","CHN",1948,0,NA
"708","CHN",1949,12.74,NA
"709","CHN",1950,18.46,NA
"710","CHN",1951,11.82,NA
"711","CHN",1952,23.66,NA
"712","CHN",1953,11.24,NA
"713","CHN",1954,18.41,NA
"714","CHN",1955,15.78,NA
"715","CHN",1956,3.42,NA
"716","CHN",1957,9.63,NA
"717","CHN",1958,23.19,NA
"718","CHN",1959,38.71,NA
"719","CHN",1960,21.49,NA
"720","CHN",1961,33.08,NA
"721","CHN",1962,26.71,NA
"722","CHN",1963,35.39,NA
"723","CHN",1964,35.8,NA
"724","CHN",1965,34.72,NA
"725","CHN",1966,35.02,NA
"726","CHN",1967,48.06,NA
"727","CHN",1968,33.61,NA
"728","CHN",1969,51.56,NA
"729","CHN",1970,51.77,NA
"730","CHN",1971,38.87,NA
"731","CHN",1972,41.56,NA
"732","CHN",1973,34.02,NA
"733","CHN",1974,29.69,NA
"734","CHN",1975,34.53,NA
"735","CHN",1976,16.07,NA
"736","CHN",1977,33.91,NA
"737","CHN",1978,30.53,NA
"738","CHN",1979,14.89,NA
"739","CHN",1980,15.54,NA
"740","CHN",1981,-0.97,NA
"741","CHN",1982,12.06,NA
"742","CHN",1983,9.46,NA
"743","CHN",1984,27.74,NA
"744","CHN",1985,29.45,NA
"745","CHN",1986,3.85,NA
"746","CHN",1987,37.65,NA
"747","CHN",1988,33.4,NA
"748","CHN",1989,42.04,NA
"749","CHN",1990,27.88,NA
"750","CHN",1991,33.6,NA
"751","CHN",1992,36.28,NA
"752","CHN",1993,36.85,NA
"753","CHN",1994,22.56,NA
"754","CHN",1995,34.15,NA
"755","CHN",1996,29.81,NA
"756","CHN",1997,23.81,NA
"757","CHN",1998,47.54,NA
"758","CHN",1999,27.75,NA
"759","CHN",2000,27.81,NA
"760","CHN",2001,45.84,NA
"761","CHN",2002,36.25,NA
"762","CHN",2003,36.79,NA
"763","CHN",2004,53.99,NA
"764","CHN",2005,44.25,NA
"765","CHN",2006,28.53,NA
"766","CHN",2007,39.31,NA
"767","CHN",2008,47.11,NA
"768","CHN",2009,42.41,NA
"769","CHN",2010,29.76,NA
"770","CHN",2011,21.91,NA
"771","CHN",2012,15.01,NA
"772","CHN",2013,24.44,NA
"773","CHN",2014,27.9,NA
"774","CHN",2015,50.02,NA
"775","CHN",2016,67.19,NA
"776","CHN",2017,48.2,NA
"777","CHP",1890,0,75
"778","CHU",1884,0,NA
"779","CIN",1890,0,77
"780","CIN",1891,0,56
"781","CIN",1892,0,82
"782","CIN",1893,0,65
"783","CIN",1894,0,55
"784","CIN",1895,0,66
"785","CIN",1896,0,77
"786","CIN",1897,0,76
"787","CIN",1898,0,92
"788","CIN",1899,0,83
"789","CIN",1900,0,62
"790","CIN",1901,0,52
"791","CIN",1902,0,70
"792","CIN",1903,0,74
"793","CIN",1904,0,88
"794","CIN",1905,0,79
"795","CIN",1906,0,64
"796","CIN",1907,0,66
"797","CIN",1908,0,73
"798","CIN",1909,0,77
"799","CIN",1910,0,75
"800","CIN",1911,0,70
"801","CIN",1912,0,75
"802","CIN",1913,0,64
"803","CIN",1914,0,60
"804","CIN",1915,0,71
"805","CIN",1916,0,60
"806","CIN",1917,0,78
"807","CIN",1918,0,68
"808","CIN",1919,0,96
"809","CIN",1920,0,82
"810","CIN",1921,0,70
"811","CIN",1922,0,86
"812","CIN",1923,0,91
"813","CIN",1924,0,83
"814","CIN",1925,0,80
"815","CIN",1926,0,87
"816","CIN",1927,0,75
"817","CIN",1928,0,78
"818","CIN",1929,0,66
"819","CIN",1930,0,59
"820","CIN",1931,0,58
"821","CIN",1932,0,60
"822","CIN",1933,0,58
"823","CIN",1934,0,52
"824","CIN",1935,0,68
"825","CIN",1936,0,74
"826","CIN",1937,0,56
"827","CIN",1938,0,82
"828","CIN",1939,0,97
"829","CIN",1940,0,100
"830","CIN",1941,0,88
"831","CIN",1942,0,76
"832","CIN",1943,0,87
"833","CIN",1944,0,89
"834","CIN",1945,0,61
"835","CIN",1946,0,67
"836","CIN",1947,0,73
"837","CIN",1948,0,64
"838","CIN",1949,18.36,62
"839","CIN",1950,22.61,66
"840","CIN",1951,4.76,68
"841","CIN",1952,-7.84,69
"842","CIN",1953,-10.4,68
